Time,SPEI
2009 Mar,0.61
2009 Apr,1.35
2009 May,0.74
2009 Jun,0.46
2009 Jul,0.91
2009 Aug,0.82
2009 Sep,-0.51
2009 Oct,2.21
2009 Nov,-0.39
2009 Dec,1.38
2010 Jan,-0.29
2010 Feb,-0.15
2010 Mar,-0.3
2010 Apr,-0.63
2010 May,0.56
2010 Jun,1.24
2010 Jul,0.61
2010 Aug,-0.43
2010 Sep,0.19
2010 Oct,-0.95
2010 Nov,0.16
2010 Dec,-0.29
2011 Jan,-0.48
2011 Feb,1.37
2011 Mar,-0.24
2011 Apr,1.52
2011 May,0.66
2011 Jun,0.94
2011 Jul,-0.44
2011 Aug,-0.95
2011 Sep,0.35
2011 Oct,-0.57
2011 Nov,1.23
2011 Dec,0.85
2012 Jan,-0.08
2012 Feb,-0.31
2012 Mar,-1.7
2012 Apr,-0.44
2012 May,-1.25
2012 Jun,-1.2
2012 Jul,-1.83
2012 Aug,0.03
2012 Sep,0.84
2012 Oct,0.87
2012 Nov,-1.08
2012 Dec,0.01
2013 Jan,1.28
2013 Feb,0.98
2013 Mar,0.1
2013 Apr,1.71
2013 May,0.9
2013 Jun,0.69
2013 Jul,-0.04
2013 Aug,-1.05
2013 Sep,-0.95
2013 Oct,0.38
2013 Nov,0.26
2013 Dec,0.13
2014 Jan,0.05
2014 Feb,0.7
2014 Mar,-0.7
2014 Apr,0.72
2014 May,-0.28
2014 Jun,1.02
2014 Jul,0.52
2014 Aug,1.03
2014 Sep,0.61
2014 Oct,0.91
2014 Nov,-0.18
2014 Dec,-0.42
2015 Jan,-0.32
2015 Feb,-0.17
2015 Mar,-0.41
2015 Apr,-0.26
2015 May,0.5
2015 Jun,1.92
2015 Jul,0.79
2015 Aug,0.03
2015 Sep,-0.1
2015 Oct,-0.92
2015 Nov,1.48
2015 Dec,2.08
2016 Jan,-1.01
2016 Feb,-0.58
2016 Mar,-0.05
2016 Apr,-0.27
2016 May,0.29
2016 Jun,-0.64
2016 Jul,1.44
2016 Aug,1.47
2016 Sep,-0.2
2016 Oct,-0.4
2016 Nov,-0.33
2016 Dec,-0.62
2017 Jan,0.28
2017 Feb,-1.62
2017 Mar,0.46
2017 Apr,1.23
2017 May,0.74
2017 Jun,-0.37
2017 Jul,0.6
2017 Aug,-0.18
2017 Sep,-1.64
2017 Oct,1.05
2017 Nov,-0.23
2017 Dec,-1.4
2018 Jan,-0.47
2018 Feb,2.07
2018 Mar,0.64
2018 Apr,-0.14
2018 May,-0.67
2018 Jun,0.88
2018 Jul,0.02
2018 Aug,0.91
2018 Sep,0.65
2018 Oct,0.65
2018 Nov,0.65
2018 Dec,0.75
2019 Jan,1.25
2019 Feb,1.2
2019 Mar,0.95
2019 Apr,0.59
2019 May,1.7
2019 Jun,0.74
2019 Jul,-0.18
2019 Aug,0.54
2019 Sep,0.26
2019 Oct,1.32
2019 Nov,0.17
2019 Dec,-0.14
2020 Jan,0.61
2020 Feb,0.03
2020 Mar,0.26
2020 Apr,-0.26
2020 May,0.37
2020 Jun,-0.31
2020 Jul,0.87
2020 Aug,-0.76
2020 Sep,0.09
2020 Oct,0.34
2020 Nov,-0.07
2020 Dec,0.02
2021 Jan,0.61
2021 Feb,0.05
2021 Mar,0.26
2021 Apr,-0.26
2021 May,0.37
2021 Jun,0.52
