Time,NAO,SPI
1990 Aug,0.48,0.2
1990 Sep,-0.19,-0.89
1990 Oct,0.48,0.82
1990 Nov,0.46,0.92
1990 Dec,-0.13,1.58
1991 Jan,1.07,-0.31
1991 Feb,0.87,-1.16
1991 Mar,1.86,0.71
1991 Apr,2.63,-0.15
1991 May,0.2,0.36
1991 Jun,0.16,-1.47
1991 Jul,0.85,-1.09
1991 Aug,-0.44,-0.47
1991 Sep,-1.76,-0.07
1991 Oct,1.19,1.51
1991 Nov,0.47,0.74
1991 Dec,1.6,-0.08
1992 Jan,0.5,-0.7
1992 Feb,0.67,-0.34
1992 Mar,0.97,-0.31
1992 Apr,-0.78,-0.41
1992 May,-0.59,-1.7
1992 Jun,-3.18,-1.44
1992 Jul,0.12,1.5
1992 Aug,-0.57,-1
1992 Sep,-0.71,0.73
1992 Oct,2.56,-1.07
1992 Nov,1.56,1.87
1992 Dec,1.04,0.47
1993 Jan,0.46,1.16
1993 Feb,1.26,-0.02
1993 Mar,1.14,0.14
1993 Apr,-0.57,0.95
1993 May,1.52,-0.47
1993 Jun,1.31,1.1
1993 Jul,0.38,1.21
1993 Aug,-1.32,0.88
1993 Sep,-0.97,1.58
1993 Oct,0.64,-0.2
1993 Nov,2.02,0.72
1993 Dec,0.93,-0.65
1994 Jan,1.14,-0.06
1994 Feb,1.25,-0.08
1994 Mar,-0.85,-1.35
1994 Apr,-1.49,0.83
1994 May,0.13,-1.09
1994 Jun,-0.22,-0.04
1994 Jul,0.69,-0.62
1994 Aug,0.31,0.11
1994 Sep,0.19,-0.49
1994 Oct,-1.38,-0.58
1994 Nov,-1.67,1.61
1994 Dec,-0.12,-0.22
1995 Jan,-0.07,0.94
1995 Feb,-0.24,-1.04
1995 Mar,-0.17,-0.4
1995 Apr,-1.06,0.56
1995 May,0.56,1.74
1995 Jun,0.67,-0.38
1995 Jul,1.02,-0.42
1995 Aug,-0.86,0.5
1995 Sep,-0.33,-1.25
1995 Oct,-0.56,0.25
1995 Nov,-1.41,-0.01
1995 Dec,-0.49,-0.93
